,sensitivity,specificity,inv_frac,delay_samples,window_width
0,0.0,1.0,0.0,0,20
1,0.0,1.0,0.5,0,20
2,0.0,1.0,1.0,0,20
3,0.0,1.0,1.5,0,20
4,0.0,1.0,2.0,0,20
5,0.0,1.0,2.5,0,20
6,0.0,1.0,3.0,0,20
7,0.0,1.0,3.5,0,20
8,0.0,1.0,4.0,0,20
9,0.0,1.0,4.5,0,20
10,0.0,1.0,5.0,0,20
11,0.0,1.0,5.5,0,20
12,0.0,1.0,6.0,0,20
13,0.0,1.0,6.5,0,20
14,0.0,1.0,7.0,0,20
15,0.0,1.0,7.5,0,20
16,0.0,1.0,8.0,0,20
17,0.0,1.0,0.0,25,20
18,1.0,0.0,0.5,25,20
19,1.0,0.0,1.0,25,20
20,1.0,0.0,1.5,25,20
21,1.0,0.0,2.0,25,20
22,1.0,0.0,2.5,25,20
23,0.978,0.0,3.0,25,20
24,0.902,0.002004008016032064,3.5,25,20
25,0.74,0.026052104208416832,4.0,25,20
26,0.568,0.07014028056112225,4.5,25,20
27,0.43,0.12224448897795591,5.0,25,20
28,0.316,0.20440881763527055,5.5,25,20
29,0.25,0.2665330661322645,6.0,25,20
30,0.178,0.3366733466933868,6.5,25,20
31,0.124,0.39879759519038077,7.0,25,20
32,0.094,0.46893787575150303,7.5,25,20
33,0.066,0.5130260521042084,8.0,25,20
34,0.0,1.0,0.0,50,20
35,1.0,0.0,0.5,50,20
36,1.0,0.0,1.0,50,20
37,1.0,0.0,1.5,50,20
38,1.0,0.0,2.0,50,20
39,1.0,0.0,2.5,50,20
40,1.0,0.0,3.0,50,20
41,0.988,0.006012024048096192,3.5,50,20
42,0.944,0.026052104208416832,4.0,50,20
43,0.866,0.06212424849699399,4.5,50,20
44,0.744,0.1402805611222445,5.0,50,20
45,0.602,0.20240480961923848,5.5,50,20
46,0.486,0.26452905811623245,6.0,50,20
47,0.4,0.3306613226452906,6.5,50,20
48,0.332,0.4188376753507014,7.0,50,20
49,0.282,0.501002004008016,7.5,50,20
50,0.226,0.56312625250501,8.0,50,20
51,0.0,1.0,0.0,75,20
52,1.0,0.0,0.5,75,20
53,1.0,0.0,1.0,75,20
54,1.0,0.0,1.5,75,20
55,1.0,0.0,2.0,75,20
56,1.0,0.0,2.5,75,20
57,1.0,0.002004008016032064,3.0,75,20
58,0.998,0.018036072144288578,3.5,75,20
59,0.982,0.050100200400801605,4.0,75,20
60,0.938,0.08817635270541083,4.5,75,20
61,0.902,0.14428857715430862,5.0,75,20
62,0.85,0.21643286573146292,5.5,75,20
63,0.784,0.2865731462925852,6.0,75,20
64,0.706,0.3527054108216433,6.5,75,20
65,0.63,0.40681362725450904,7.0,75,20
66,0.558,0.4749498997995992,7.5,75,20
67,0.49,0.5571142284569138,8.0,75,20
68,0.0,1.0,0.0,100,20
69,1.0,0.0,0.5,100,20
70,1.0,0.0,1.0,100,20
71,1.0,0.0,1.5,100,20
72,1.0,0.0,2.0,100,20
73,1.0,0.0,2.5,100,20
74,1.0,0.0,3.0,100,20
75,1.0,0.01603206412825651,3.5,100,20
76,1.0,0.03807615230460922,4.0,100,20
77,0.99,0.09018036072144289,4.5,100,20
78,0.984,0.15430861723446893,5.0,100,20
79,0.948,0.218436873747495,5.5,100,20
80,0.924,0.2785571142284569,6.0,100,20
81,0.89,0.35070140280561124,6.5,100,20
82,0.852,0.4228456913827655,7.0,100,20
83,0.802,0.49298597194388777,7.5,100,20
84,0.756,0.5551102204408818,8.0,100,20
85,0.0,1.0,0.0,125,20
86,1.0,0.0,0.5,125,20
87,1.0,0.0,1.0,125,20
88,1.0,0.0,1.5,125,20
89,1.0,0.0,2.0,125,20
90,1.0,0.0,2.5,125,20
91,1.0,0.002004008016032064,3.0,125,20
92,1.0,0.008016032064128256,3.5,125,20
93,1.0,0.03406813627254509,4.0,125,20
94,0.994,0.0781563126252505,4.5,125,20
95,0.992,0.13827655310621242,5.0,125,20
96,0.982,0.20440881763527055,5.5,125,20
97,0.962,0.25851703406813625,6.0,125,20
98,0.932,0.34468937875751504,6.5,125,20
99,0.908,0.4028056112224449,7.0,125,20
100,0.886,0.46693386773547096,7.5,125,20
101,0.838,0.5130260521042084,8.0,125,20
102,0.0,1.0,0.0,150,20
103,1.0,0.0,0.5,150,20
104,1.0,0.0,1.0,150,20
105,1.0,0.0,1.5,150,20
106,1.0,0.0,2.0,150,20
107,1.0,0.0,2.5,150,20
108,1.0,0.0,3.0,150,20
109,1.0,0.008016032064128256,3.5,150,20
110,1.0,0.03206412825651302,4.0,150,20
111,0.994,0.06613226452905811,4.5,150,20
112,0.99,0.11823647294589178,5.0,150,20
113,0.984,0.20841683366733466,5.5,150,20
114,0.976,0.26452905811623245,6.0,150,20
115,0.962,0.3346693386773547,6.5,150,20
116,0.95,0.39879759519038077,7.0,150,20
117,0.91,0.47695390781563124,7.5,150,20
118,0.882,0.5531062124248497,8.0,150,20
119,0.0,1.0,0.0,0,40
120,0.0,1.0,0.5,0,40
121,0.0,1.0,1.0,0,40
122,0.0,1.0,1.5,0,40
123,0.0,1.0,2.0,0,40
124,0.0,1.0,2.5,0,40
125,0.0,1.0,3.0,0,40
126,0.0,1.0,3.5,0,40
127,0.0,1.0,4.0,0,40
128,0.0,1.0,4.5,0,40
129,0.0,1.0,5.0,0,40
130,0.0,1.0,5.5,0,40
131,0.0,1.0,6.0,0,40
132,0.0,1.0,6.5,0,40
133,0.0,1.0,7.0,0,40
134,0.0,1.0,7.5,0,40
135,0.0,1.0,8.0,0,40
136,0.0,1.0,0.0,25,40
137,0.844,0.07414829659318638,0.5,25,40
138,1.0,0.0,1.0,25,40
139,1.0,0.0,1.5,25,40
140,0.988,0.06012024048096192,2.0,25,40
141,0.538,0.45090180360721444,2.5,25,40
142,0.282,0.7555110220440882,3.0,25,40
143,0.158,0.8717434869739479,3.5,25,40
144,0.072,0.9458917835671342,4.0,25,40
145,0.042,0.9659318637274549,4.5,25,40
146,0.022,0.9859719438877755,5.0,25,40
147,0.014,0.9919839679358717,5.5,25,40
148,0.008,0.9939879759519038,6.0,25,40
149,0.006,0.9939879759519038,6.5,25,40
150,0.004,0.9959919839679359,7.0,25,40
151,0.004,0.9979959919839679,7.5,25,40
152,0.002,1.0,8.0,25,40
153,0.0,1.0,0.0,50,40
154,0.998,0.002004008016032064,0.5,50,40
155,1.0,0.0,1.0,50,40
156,1.0,0.0,1.5,50,40
157,1.0,0.002004008016032064,2.0,50,40
158,1.0,0.1062124248496994,2.5,50,40
159,0.976,0.37074148296593185,3.0,50,40
160,0.866,0.5831663326653307,3.5,50,40
161,0.612,0.7394789579158316,4.0,50,40
162,0.416,0.843687374749499,4.5,50,40
163,0.286,0.8997995991983968,5.0,50,40
164,0.212,0.9278557114228457,5.5,50,40
165,0.16,0.9539078156312625,6.0,50,40
166,0.122,0.9719438877755511,6.5,50,40
167,0.082,0.9819639278557114,7.0,50,40
168,0.058,0.9879759519038076,7.5,50,40
169,0.04,0.9899799599198397,8.0,50,40
170,0.0,1.0,0.0,75,40
171,1.0,0.0,0.5,75,40
172,1.0,0.0,1.0,75,40
173,1.0,0.0,1.5,75,40
174,1.0,0.01002004008016032,2.0,75,40
175,1.0,0.11823647294589178,2.5,75,40
176,0.978,0.3907815631262525,3.0,75,40
177,0.932,0.6012024048096193,3.5,75,40
178,0.87,0.7454909819639278,4.0,75,40
179,0.808,0.8557114228456913,4.5,75,40
180,0.734,0.9038076152304609,5.0,75,40
181,0.63,0.9298597194388778,5.5,75,40
182,0.498,0.9579158316633266,6.0,75,40
183,0.406,0.9759519038076152,6.5,75,40
184,0.334,0.9839679358717435,7.0,75,40
185,0.282,0.9879759519038076,7.5,75,40
186,0.218,0.9899799599198397,8.0,75,40
187,0.0,1.0,0.0,100,40
188,1.0,0.004008016032064128,0.5,100,40
189,1.0,0.0,1.0,100,40
190,1.0,0.0,1.5,100,40
191,1.0,0.0,2.0,100,40
192,1.0,0.13627254509018036,2.5,100,40
193,1.0,0.36072144288577157,3.0,100,40
194,0.998,0.6032064128256514,3.5,100,40
195,0.972,0.751503006012024,4.0,100,40
196,0.934,0.8336673346693386,4.5,100,40
197,0.884,0.8917835671342685,5.0,100,40
198,0.836,0.9298597194388778,5.5,100,40
199,0.786,0.9498997995991983,6.0,100,40
200,0.734,0.9639278557114228,6.5,100,40
201,0.69,0.9779559118236473,7.0,100,40
202,0.63,0.9839679358717435,7.5,100,40
203,0.578,0.9879759519038076,8.0,100,40
204,0.0,1.0,0.0,125,40
205,1.0,0.0,0.5,125,40
206,1.0,0.0,1.0,125,40
207,1.0,0.0,1.5,125,40
208,1.0,0.0,2.0,125,40
209,1.0,0.10020040080160321,2.5,125,40
210,1.0,0.3787575150300601,3.0,125,40
211,1.0,0.6032064128256514,3.5,125,40
212,0.996,0.7575150300601202,4.0,125,40
213,0.982,0.8396793587174348,4.5,125,40
214,0.948,0.8897795591182365,5.0,125,40
215,0.92,0.9378757515030061,5.5,125,40
216,0.868,0.9519038076152304,6.0,125,40
217,0.812,0.9639278557114228,6.5,125,40
218,0.78,0.9779559118236473,7.0,125,40
219,0.742,0.9819639278557114,7.5,125,40
220,0.686,0.9879759519038076,8.0,125,40
221,0.0,1.0,0.0,150,40
222,1.0,0.002004008016032064,0.5,150,40
223,1.0,0.0,1.0,150,40
224,1.0,0.0,1.5,150,40
225,1.0,0.004008016032064128,2.0,150,40
226,1.0,0.1062124248496994,2.5,150,40
227,1.0,0.3867735470941884,3.0,150,40
228,1.0,0.591182364729459,3.5,150,40
229,0.996,0.7695390781563126,4.0,150,40
230,0.984,0.8677354709418837,4.5,150,40
231,0.96,0.9078156312625251,5.0,150,40
232,0.934,0.9498997995991983,5.5,150,40
233,0.908,0.9639278557114228,6.0,150,40
234,0.86,0.9779559118236473,6.5,150,40
235,0.802,0.9859719438877755,7.0,150,40
236,0.762,0.9879759519038076,7.5,150,40
237,0.712,0.9899799599198397,8.0,150,40
238,0.0,1.0,0.0,0,60
239,0.0,1.0,0.5,0,60
240,0.0,1.0,1.0,0,60
241,0.0,1.0,1.5,0,60
242,0.0,1.0,2.0,0,60
243,0.0,1.0,2.5,0,60
244,0.0,1.0,3.0,0,60
245,0.0,1.0,3.5,0,60
246,0.0,1.0,4.0,0,60
247,0.0,1.0,4.5,0,60
248,0.0,1.0,5.0,0,60
249,0.0,1.0,5.5,0,60
250,0.0,1.0,6.0,0,60
251,0.0,1.0,6.5,0,60
252,0.0,1.0,7.0,0,60
253,0.0,1.0,7.5,0,60
254,0.0,1.0,8.0,0,60
255,0.0,1.0,0.0,25,60
256,0.298,0.8256513026052105,0.5,25,60
257,1.0,0.0,1.0,25,60
258,1.0,0.02004008016032064,1.5,25,60
259,0.592,0.8136272545090181,2.0,25,60
260,0.122,0.9839679358717435,2.5,25,60
261,0.014,1.0,3.0,25,60
262,0.004,1.0,3.5,25,60
263,0.002,1.0,4.0,25,60
264,0.002,1.0,4.5,25,60
265,0.002,1.0,5.0,25,60
266,0.002,1.0,5.5,25,60
267,0.002,1.0,6.0,25,60
268,0.002,1.0,6.5,25,60
269,0.002,1.0,7.0,25,60
270,0.002,1.0,7.5,25,60
271,0.002,1.0,8.0,25,60
272,0.0,1.0,0.0,50,60
273,0.92,0.22645290581162325,0.5,50,60
274,1.0,0.0,1.0,50,60
275,1.0,0.0,1.5,50,60
276,1.0,0.23246492985971945,2.0,50,60
277,0.962,0.6973947895791583,2.5,50,60
278,0.846,0.9078156312625251,3.0,50,60
279,0.554,0.969939879759519,3.5,50,60
280,0.29,0.9899799599198397,4.0,50,60
281,0.126,0.9979959919839679,4.5,50,60
282,0.044,1.0,5.0,50,60
283,0.022,1.0,5.5,50,60
284,0.01,1.0,6.0,50,60
285,0.004,1.0,6.5,50,60
286,0.004,1.0,7.0,50,60
287,0.002,1.0,7.5,50,60
288,0.002,1.0,8.0,50,60
289,0.0,1.0,0.0,75,60
290,0.972,0.11623246492985972,0.5,75,60
291,1.0,0.0,1.0,75,60
292,1.0,0.0,1.5,75,60
293,1.0,0.11222444889779559,2.0,75,60
294,0.99,0.5751503006012024,2.5,75,60
295,0.95,0.8176352705410822,3.0,75,60
296,0.888,0.9298597194388778,3.5,75,60
297,0.816,0.9779559118236473,4.0,75,60
298,0.746,0.9879759519038076,4.5,75,60
299,0.66,0.9919839679358717,5.0,75,60
300,0.472,1.0,5.5,75,60
301,0.328,1.0,6.0,75,60
302,0.226,1.0,6.5,75,60
303,0.136,1.0,7.0,75,60
304,0.076,1.0,7.5,75,60
305,0.044,1.0,8.0,75,60
306,0.0,1.0,0.0,100,60
307,0.982,0.1282565130260521,0.5,100,60
308,1.0,0.0,1.0,100,60
309,1.0,0.0,1.5,100,60
310,1.0,0.1402805611222445,2.0,100,60
311,1.0,0.5651302605210421,2.5,100,60
312,0.998,0.8356713426853707,3.0,100,60
313,0.988,0.9258517034068137,3.5,100,60
314,0.922,0.9599198396793587,4.0,100,60
315,0.862,0.9859719438877755,4.5,100,60
316,0.804,0.9939879759519038,5.0,100,60
317,0.754,0.9979959919839679,5.5,100,60
318,0.708,1.0,6.0,100,60
319,0.654,1.0,6.5,100,60
320,0.58,1.0,7.0,100,60
321,0.494,1.0,7.5,100,60
322,0.378,1.0,8.0,100,60
323,0.0,1.0,0.0,125,60
324,0.986,0.09218436873747494,0.5,125,60
325,1.0,0.0,1.0,125,60
326,1.0,0.0,1.5,125,60
327,1.0,0.10020040080160321,2.0,125,60
328,1.0,0.5831663326653307,2.5,125,60
329,1.0,0.8356713426853707,3.0,125,60
330,0.996,0.9138276553106213,3.5,125,60
331,0.98,0.9599198396793587,4.0,125,60
332,0.93,0.9779559118236473,4.5,125,60
333,0.882,0.9919839679358717,5.0,125,60
334,0.832,0.9979959919839679,5.5,125,60
335,0.782,0.9979959919839679,6.0,125,60
336,0.734,1.0,6.5,125,60
337,0.688,1.0,7.0,125,60
338,0.632,1.0,7.5,125,60
339,0.546,1.0,8.0,125,60
340,0.0,1.0,0.0,150,60
341,0.998,0.11022044088176353,0.5,150,60
342,1.0,0.0,1.0,150,60
343,1.0,0.0,1.5,150,60
344,1.0,0.11823647294589178,2.0,150,60
345,1.0,0.5751503006012024,2.5,150,60
346,1.0,0.8256513026052105,3.0,150,60
347,0.998,0.935871743486974,3.5,150,60
348,0.986,0.969939879759519,4.0,150,60
349,0.958,0.9779559118236473,4.5,150,60
350,0.916,0.9899799599198397,5.0,150,60
351,0.86,1.0,5.5,150,60
352,0.808,1.0,6.0,150,60
353,0.762,1.0,6.5,150,60
354,0.72,1.0,7.0,150,60
355,0.648,1.0,7.5,150,60
356,0.564,1.0,8.0,150,60
357,0.0,1.0,0.0,0,80
358,0.0,1.0,0.5,0,80
359,0.0,1.0,1.0,0,80
360,0.0,1.0,1.5,0,80
361,0.0,1.0,2.0,0,80
362,0.0,1.0,2.5,0,80
363,0.0,1.0,3.0,0,80
364,0.0,1.0,3.5,0,80
365,0.0,1.0,4.0,0,80
366,0.0,1.0,4.5,0,80
367,0.0,1.0,5.0,0,80
368,0.0,1.0,5.5,0,80
369,0.0,1.0,6.0,0,80
370,0.0,1.0,6.5,0,80
371,0.0,1.0,7.0,0,80
372,0.0,1.0,7.5,0,80
373,0.0,1.0,8.0,0,80
374,0.0,1.0,0.0,25,80
375,0.042,0.9879759519038076,0.5,25,80
376,1.0,0.0,1.0,25,80
377,1.0,0.46693386773547096,1.5,25,80
378,0.25,0.9939879759519038,2.0,25,80
379,0.012,1.0,2.5,25,80
380,0.002,1.0,3.0,25,80
381,0.002,1.0,3.5,25,80
382,0.002,1.0,4.0,25,80
383,0.002,1.0,4.5,25,80
384,0.002,1.0,5.0,25,80
385,0.002,1.0,5.5,25,80
386,0.002,1.0,6.0,25,80
387,0.002,1.0,6.5,25,80
388,0.002,1.0,7.0,25,80
389,0.002,1.0,7.5,25,80
390,0.002,1.0,8.0,25,80
391,0.0,1.0,0.0,50,80
392,0.644,0.7755511022044088,0.5,50,80
393,1.0,0.0,1.0,50,80
394,1.0,0.03006012024048096,1.5,50,80
395,0.992,0.781563126252505,2.0,50,80
396,0.882,0.9839679358717435,2.5,50,80
397,0.582,0.9959919839679359,3.0,50,80
398,0.194,1.0,3.5,50,80
399,0.038,1.0,4.0,50,80
400,0.004,1.0,4.5,50,80
401,0.002,1.0,5.0,50,80
402,0.002,1.0,5.5,50,80
403,0.002,1.0,6.0,50,80
404,0.002,1.0,6.5,50,80
405,0.002,1.0,7.0,50,80
406,0.002,1.0,7.5,50,80
407,0.002,1.0,8.0,50,80
408,0.0,1.0,0.0,75,80
409,0.898,0.39879759519038077,0.5,75,80
410,1.0,0.0,1.0,75,80
411,1.0,0.0,1.5,75,80
412,1.0,0.3687374749498998,2.0,75,80
413,0.992,0.8517034068136272,2.5,75,80
414,0.916,0.9619238476953907,3.0,75,80
415,0.842,0.9879759519038076,3.5,75,80
416,0.756,0.9959919839679359,4.0,75,80
417,0.666,1.0,4.5,75,80
418,0.45,1.0,5.0,75,80
419,0.252,1.0,5.5,75,80
420,0.142,1.0,6.0,75,80
421,0.064,1.0,6.5,75,80
422,0.026,1.0,7.0,75,80
423,0.01,1.0,7.5,75,80
424,0.006,1.0,8.0,75,80
425,0.0,1.0,0.0,100,80
426,0.938,0.374749498997996,0.5,100,80
427,1.0,0.0,1.0,100,80
428,1.0,0.002004008016032064,1.5,100,80
429,1.0,0.3687374749498998,2.0,100,80
430,1.0,0.8296593186372746,2.5,100,80
431,0.996,0.9539078156312625,3.0,100,80
432,0.962,0.9839679358717435,3.5,100,80
433,0.89,0.9939879759519038,4.0,100,80
434,0.804,0.9979959919839679,4.5,100,80
435,0.746,1.0,5.0,100,80
436,0.698,1.0,5.5,100,80
437,0.64,1.0,6.0,100,80
438,0.55,1.0,6.5,100,80
439,0.418,1.0,7.0,100,80
440,0.272,1.0,7.5,100,80
441,0.188,1.0,8.0,100,80
442,0.0,1.0,0.0,125,80
443,0.948,0.36072144288577157,0.5,125,80
444,1.0,0.0,1.0,125,80
445,1.0,0.002004008016032064,1.5,125,80
446,1.0,0.3466933867735471,2.0,125,80
447,1.0,0.811623246492986,2.5,125,80
448,1.0,0.9539078156312625,3.0,125,80
449,0.996,0.9839679358717435,3.5,125,80
450,0.956,0.9919839679358717,4.0,125,80
451,0.882,0.9959919839679359,4.5,125,80
452,0.812,1.0,5.0,125,80
453,0.76,1.0,5.5,125,80
454,0.706,1.0,6.0,125,80
455,0.658,1.0,6.5,125,80
456,0.59,1.0,7.0,125,80
457,0.496,1.0,7.5,125,80
458,0.392,1.0,8.0,125,80
459,0.0,1.0,0.0,150,80
460,0.976,0.3727454909819639,0.5,150,80
461,1.0,0.0,1.0,150,80
462,1.0,0.002004008016032064,1.5,150,80
463,1.0,0.3927855711422846,2.0,150,80
464,1.0,0.8276553106212425,2.5,150,80
465,1.0,0.9599198396793587,3.0,150,80
466,0.994,0.9779559118236473,3.5,150,80
467,0.978,0.9899799599198397,4.0,150,80
468,0.922,0.9979959919839679,4.5,150,80
469,0.858,1.0,5.0,150,80
470,0.806,1.0,5.5,150,80
471,0.76,1.0,6.0,150,80
472,0.706,1.0,6.5,150,80
473,0.618,1.0,7.0,150,80
474,0.518,1.0,7.5,150,80
475,0.384,1.0,8.0,150,80
476,0.0,1.0,0.0,0,100
477,0.0,1.0,0.5,0,100
478,0.0,1.0,1.0,0,100
479,0.0,1.0,1.5,0,100
480,0.0,1.0,2.0,0,100
481,0.0,1.0,2.5,0,100
482,0.0,1.0,3.0,0,100
483,0.0,1.0,3.5,0,100
484,0.0,1.0,4.0,0,100
485,0.0,1.0,4.5,0,100
486,0.0,1.0,5.0,0,100
487,0.0,1.0,5.5,0,100
488,0.0,1.0,6.0,0,100
489,0.0,1.0,6.5,0,100
490,0.0,1.0,7.0,0,100
491,0.0,1.0,7.5,0,100
492,0.0,1.0,8.0,0,100
493,0.0,1.0,0.0,25,100
494,0.02,1.0,0.5,25,100
495,1.0,0.0,1.0,25,100
496,0.992,0.8937875751503006,1.5,25,100
497,0.032,1.0,2.0,25,100
498,0.002,1.0,2.5,25,100
499,0.002,1.0,3.0,25,100
500,0.002,1.0,3.5,25,100
501,0.002,1.0,4.0,25,100
502,0.002,1.0,4.5,25,100
503,0.002,1.0,5.0,25,100
504,0.002,1.0,5.5,25,100
505,0.002,1.0,6.0,25,100
506,0.002,1.0,6.5,25,100
507,0.002,1.0,7.0,25,100
508,0.002,1.0,7.5,25,100
509,0.002,1.0,8.0,25,100
510,0.0,1.0,0.0,50,100
511,0.474,0.9619238476953907,0.5,50,100
512,1.0,0.0,1.0,50,100
513,1.0,0.250501002004008,1.5,50,100
514,0.98,0.9619238476953907,2.0,50,100
515,0.8,0.9979959919839679,2.5,50,100
516,0.228,1.0,3.0,50,100
517,0.012,1.0,3.5,50,100
518,0.002,1.0,4.0,50,100
519,0.002,1.0,4.5,50,100
520,0.002,1.0,5.0,50,100
521,0.002,1.0,5.5,50,100
522,0.002,1.0,6.0,50,100
523,0.002,1.0,6.5,50,100
524,0.002,1.0,7.0,50,100
525,0.002,1.0,7.5,50,100
526,0.002,1.0,8.0,50,100
527,0.0,1.0,0.0,75,100
528,0.776,0.8256513026052105,0.5,75,100
529,1.0,0.0,1.0,75,100
530,1.0,0.06813627254509018,1.5,75,100
531,1.0,0.8256513026052105,2.0,75,100
532,0.956,0.9719438877755511,2.5,75,100
533,0.856,0.9959919839679359,3.0,75,100
534,0.78,1.0,3.5,75,100
535,0.638,1.0,4.0,75,100
536,0.366,1.0,4.5,75,100
537,0.112,1.0,5.0,75,100
538,0.028,1.0,5.5,75,100
539,0.01,1.0,6.0,75,100
540,0.002,1.0,6.5,75,100
541,0.002,1.0,7.0,75,100
542,0.002,1.0,7.5,75,100
543,0.002,1.0,8.0,75,100
544,0.0,1.0,0.0,100,100
545,0.9,0.6072144288577155,0.5,100,100
546,1.0,0.0,1.0,100,100
547,1.0,0.006012024048096192,1.5,100,100
548,1.0,0.5651302605210421,2.0,100,100
549,1.0,0.9318637274549099,2.5,100,100
550,0.994,0.9759519038076152,3.0,100,100
551,0.944,0.9979959919839679,3.5,100,100
